model	ndcg@10	time_per_doc
200x100x100x50	0.33420673	1.01231e-05
200x100x100x50	0.83709395	1.75175e-05
200x100x100x50	0.6913634	1.35441e-05
200x100x100x50	0.82204944	1.37228e-05
200x100x100x50	0.60802823	1.3851899999999999e-05
200x100x100x50	0.72836345	9.19881e-06
200x100x100x50	0.5339022	1.0275e-05
200x100x100x50	0.52897847	1.0397099999999999e-05
200x100x100x50	0.44213712	9.42783e-06
200x100x100x50	0.42985666	8.59348e-06
200x100x100x50	0.30742094	1.188e-05
200x100x100x50	0.7755467	1.4732099999999999e-05
200x100x100x50	0.6582098	1.2341200000000001e-05
200x100x100x50	0.5679933	1.31586e-05
200x100x100x50	0.24769843	1.1135e-05
200x100x100x50	0.4949723	1.047e-05
200x100x100x50	0.4672637	9.67532e-06
200x100x100x50	0.26106843	1.45399e-05
200x100x100x50	0.21879312	1.14591e-05
200x100x100x50	0.39568707	9.34509e-06
200x100x100x50	0.6544633	1.35682e-05
200x100x100x50	0.70502347	9.08968e-06
200x100x100x50	0.6319497	1.1465399999999999e-05
200x100x100x50	0.30342212	9.20607e-06
200x100x100x50	0.48633146	1.1587499999999999e-05
200x100x100x50	0.49632537	8.2049e-06
200x100x100x50	0.58205944	1.0202e-05
200x100x100x50	0.73440987	9.1808e-06
200x100x100x50	0.4752383	9.65316e-06
200x100x100x50	0.17034964	1.05515e-05
200x100x100x50	0.76470256	1.55526e-05
200x100x100x50	0.5207418	8.39401e-06
200x100x100x50	0.40965238	8.75454e-06
200x100x100x50	0.3546221	8.72868e-06
200x100x100x50	0.6038122	8.43682e-06
200x100x100x50	0.4866036	1.0672699999999999e-05
200x100x100x50	0.83554816	1.07694e-05
200x100x100x50	0.7448484	8.19906e-06
200x100x100x50	0.8280641	1.3639e-05
200x100x100x50	0.71524954	1.07792e-05
200x100x100x50	0.46903238	1.52638e-05
200x100x100x50	0.3065736	1.90574e-05
200x100x100x50	0.087203674	9.56233e-06
200x100x100x50	0.49234495	9.0829e-06
200x100x100x50	0.46225008	1.11039e-05
200x100x100x50	0.55725753	9.296269999999999e-06
200x100x100x50	0.7259681	1.18887e-05
200x100x100x50	0.7013009	1.2416700000000001e-05
200x100x100x50	0.5540785	1.3802700000000001e-05
200x100x100x50	0.5349131	1.20456e-05
200x100x100x50	0.43914536	1.21437e-05
200x100x100x50	0.70894164	1.29374e-05
200x100x100x50	0.8200559	1.57216e-05
200x100x100x50	0.25342035	8.62166e-06
200x100x100x50	0.5569418	1.3302400000000002e-05
200x100x100x50	0.84855855	9.21751e-06
200x100x100x50	0.6943183	1.27526e-05
200x100x100x50	0.43067655	1.02037e-05
200x100x100x50	0.5051819	1.11358e-05
200x100x100x50	0.13565198	1.18674e-05
200x100x100x50	0.18871856	1.30487e-05
200x100x100x50	0.801623	8.59109e-06
200x100x100x50	0.7366615	9.48689e-06
200x100x100x50	0.5305505	1.54152e-05
200x100x100x50	0.48600495	9.07131e-06
200x100x100x50	0.6597043	9.17073e-06
200x100x100x50	0.74463296	9.27526e-06
200x100x100x50	0.40273756	1.05499e-05
200x100x100x50	0.5079526	1.35514e-05
200x100x100x50	0.34974515	1.06127e-05
200x100x100x50	0.31954962	1.61792e-05
200x100x100x50	0.61100864	8.66863e-06
200x100x100x50	0.28033882	1.12255e-05
200x100x100x50	0.5645771	1.20231e-05
200x100x100x50	0.83011264	1.0178799999999998e-05
200x100x100x50	0.6767446	8.15838e-06
200x100x100x50	0.6004508	1.1680299999999999e-05
200x100x100x50	0.42756814	9.34929e-06
200x100x100x50	0.1791401	9.95056e-06
200x100x100x50	0.45004007	1.17375e-05
200x100x100x50	0.86278486	1.44554e-05
200x100x100x50	0.24440528	1.21386e-05
200x100x100x50	0.5323608	8.86976e-06
200x100x100x50	0.06508648	1.28486e-05
200x100x100x50	0.2625296	8.52369e-06
200x100x100x50	0.83390325	1.0013799999999999e-05
200x100x100x50	0.92439765	1.04411e-05
200x100x100x50	0.42411518	1.04163e-05
200x100x100x50	0.0	1.24838e-05
200x100x100x50	0.7148573	1.24983e-05
200x100x100x50	0.47687498	1.10455e-05
200x100x100x50	0.58970475	9.026600000000001e-06
200x100x100x50	0.52314675	1.04358e-05
200x100x100x50	0.16971286	9.14747e-06
200x100x100x50	0.61044794	9.06686e-06
200x100x100x50	0.23195334	9.4462e-06
200x100x100x50	0.8393423	1.5156e-05
200x100x100x50	0.32778725	1.0566899999999999e-05
200x100x100x50	0.008211641	8.8401e-06
200x100x100x50	0.5076257	1.17899e-05
200x100x100x50	0.18674476	1.14435e-05
200x100x100x50	0.7170247	1.32358e-05
200x100x100x50	0.55191183	1.0025299999999999e-05
200x100x100x50	0.49943346	9.17517e-06
200x100x100x50	0.26138982	1.08299e-05
200x100x100x50	0.6481067	8.437900000000001e-06
200x100x100x50	0.4573229	1.45354e-05
200x100x100x50	0.271623	9.99505e-06
200x100x100x50	0.5375338	9.11054e-06
200x100x100x50	0.55436003	9.190110000000001e-06
200x100x100x50	0.42829418	9.371930000000001e-06
200x100x100x50	0.2755939	9.065710000000001e-06
200x100x100x50	0.39744002	1.0644199999999999e-05
200x100x100x50	0.7950899	8.53306e-06
200x100x100x50	0.7815846	1.02661e-05
200x100x100x50	0.31094602	1.3667199999999999e-05
200x100x100x50	0.69464445	9.03719e-06
200x100x100x50	0.20735076	9.383909999999999e-06
200x100x100x50	0.5897576	1.22471e-05
200x100x100x50	0.46405673	9.00089e-06
200x100x100x50	0.42542958	9.16145e-06
200x100x100x50	0.38565204	9.62864e-06
200x100x100x50	0.6427103	1.30305e-05
200x100x100x50	0.32809198	8.07291e-06
200x100x100x50	0.7900799	1.09907e-05
200x100x100x50	0.3969288	9.5128e-06
200x100x100x50	0.59663886	1.48251e-05
200x100x100x50	0.2991608	8.92778e-06
200x100x100x50	0.28296277	1.23177e-05
200x100x100x50	0.5428862	8.99039e-06
200x100x100x50	0.56140363	1.16712e-05
200x100x100x50	0.556958	9.77185e-06
200x100x100x50	0.5341047	2.61258e-05
200x100x100x50	0.41666773	1.2982899999999999e-05
200x100x100x50	0.6954822	1.05373e-05
200x100x100x50	0.48839715	1.03572e-05
200x100x100x50	0.46710086	9.61255e-06
200x100x100x50	0.9054463	1.53399e-05
200x100x100x50	0.4105006	9.176910000000001e-06
200x100x100x50	0.73799527	1.41645e-05
200x100x100x50	0.46655178	1.4844200000000001e-05
200x100x100x50	0.9227515	1.05897e-05
200x100x100x50	0.29649764	1.18837e-05
200x100x100x50	0.09519796	9.32781e-06
200x100x100x50	0.43058187	1.1822600000000001e-05
200x100x100x50	0.33571416	8.53089e-06
200x100x100x50	0.3521586	8.422500000000001e-06
200x100x100x50	1.0	1.4168400000000001e-05
200x100x100x50	0.6533516	9.69343e-06
200x100x100x50	0.5580095	8.19866e-06
200x100x100x50	0.49747664	1.1649e-05
200x100x100x50	0.31646645	1.3312699999999999e-05
200x100x100x50	0.7164084	1.09907e-05
200x100x100x50	0.6733862	1.04856e-05
200x100x100x50	0.45948732	1.14137e-05
200x100x100x50	0.6952424	1.00197e-05
200x100x100x50	0.6281464	9.55276e-06
200x100x100x50	0.76279885	1.17031e-05
200x100x100x50	0.44218934	1.11271e-05
200x100x100x50	0.65755224	1.03006e-05
200x100x100x50	0.9484468	8.60105e-06
200x100x100x50	0.85537374	1.05763e-05
200x100x100x50	0.21109268	8.85434e-06
200x100x100x50	0.39784414	9.70876e-06
200x100x100x50	0.8162627	1.10301e-05
200x100x100x50	0.58320194	8.497670000000001e-06
200x100x100x50	0.6624611	1.08594e-05
200x100x100x50	0.5290085	9.69849e-06
200x100x100x50	0.6452056	1.21023e-05
200x100x100x50	0.27976435	1.56735e-05
200x100x100x50	0.93668306	1.23505e-05
200x100x100x50	0.4922255	9.37775e-06
200x100x100x50	0.78991896	1.05782e-05
200x100x100x50	0.21552782	1.25472e-05
200x100x100x50	0.8383974	9.13543e-06
200x100x100x50	0.6702028	1.07386e-05
200x100x100x50	0.31224352	9.93783e-06
200x100x100x50	0.8400527	1.1429899999999999e-05
200x100x100x50	0.37100327	9.59028e-06
200x100x100x50	0.64893174	9.99747e-06
200x100x100x50	0.5431112	1.07012e-05
200x100x100x50	0.751523	1.0383899999999999e-05
200x100x100x50	0.32634917	1.0495300000000001e-05
200x100x100x50	0.77844816	1.77637e-05
200x100x100x50	0.27022055	1.16889e-05
200x100x100x50	0.61895025	8.82182e-06
200x100x100x50	0.5340936	9.49956e-06
200x100x100x50	0.2839376	1.08541e-05
200x100x100x50	0.41337895	1.03589e-05
200x100x100x50	0.089264095	1.0823000000000001e-05
200x100x100x50	0.49367902	8.24406e-06
200x100x100x50	0.6509014	9.47042e-06
200x100x100x50	0.66380125	1.1392899999999999e-05
200x100x100x50	0.9067384	8.40784e-06
200x100x100x50	0.55843455	1.21288e-05
200x100x100x50	0.511904	1.55625e-05
200x100x100x50	0.5214683	2.13484e-05
200x100x100x50	0.5662291	9.26975e-06
200x100x100x50	0.33043766	8.1984e-06
200x100x100x50	0.8999657	1.42122e-05
200x100x100x50	0.35051295	1.34215e-05
200x100x100x50	0.45224753	8.912609999999999e-06
200x100x100x50	0.8192581	9.68116e-06
200x100x100x50	0.4133398	1.30384e-05
200x100x100x50	0.3206429	1.44192e-05
200x100x100x50	0.5155774	9.97356e-06
200x100x100x50	0.75160617	1.21444e-05
200x100x100x50	0.5039963	8.95781e-06
200x100x100x50	0.3160976	1.1923299999999998e-05
200x100x100x50	0.0	8.69557e-06
200x100x100x50	0.64438987	1.2106900000000001e-05
200x100x100x50	0.4665159	1.28088e-05
200x100x100x50	0.9690945	1.1022899999999999e-05
200x100x100x50	0.30576107	9.05272e-06
200x100x100x50	1.0	1.07371e-05
200x100x100x50	0.0	1.04382e-05
200x100x100x50	0.28048894	9.58805e-06
200x100x100x50	0.9799215	1.5948e-05
200x100x100x50	0.3216338	9.51651e-06
200x100x100x50	1.0	1.62586e-05
200x100x100x50	0.5224313	1.0238100000000001e-05
200x100x100x50	0.46996886	8.67421e-06
200x100x100x50	0.8446878	1.46272e-05
200x100x100x50	0.53331536	1.0053e-05
200x100x100x50	0.6978217	1.0658799999999999e-05
200x100x100x50	0.0	9.37734e-06
200x100x100x50	0.59654313	1.0903400000000001e-05
200x100x100x50	0.5352965	1.1310500000000001e-05
200x100x100x50	0.82827353	1.37811e-05
200x100x100x50	0.6739146	9.47118e-06
200x100x100x50	0.04188747	9.27361e-06
